monostable usb biometric switch rgpd - connection by m12 connector
tesys gs - red external frontal rotary handle - for switch disc 100…400 a  - gs2aht540
starter-controller up to 15 kw with power base lub32, control unit lucl18b, communication module lulc031
acti9 ic60 n rcbo 4p 13a 30ma c 6 ka
starter-controller up to 15 kw with power base lus12, control unit lucc12b, communication module lufc00, accessories lua1c11
ul type 1 conformity kit atv320 - vw3a95812
starter-controller up to 15 kw with power base lub32, control unit lucb12b, communication module lufn02, accessories lua1c20
capacitor can sdy 1.7/2kvar 400v
tvs 3p ctr 400v 22kw ac3 48v 50 60hz
planetary gearboxes gbx120005k with adaptator kit gbk 120 070 3 f, casing diameter = 120 and reduction ratio = 5:1
starter-controller up to 15 kw with power base lub12, control unit lucc05fu, communication module lufdh11, accessories lua1c11
flat zed unit - krc1000zp4
75_76xx_tran
lexium gbx planetary gearboxes : gbx060015k with adaptator kit : gbk0600573s
tesys lp1d contactor, 4 poles, screw clamp terminals or lugs, with cover, 60a to 125a - lp1d65004ed
explosive atmosphere - 455 key selector swith 2 positions spring return
starter-controller up to 15 kw with power base lub32, control unit lucd05bl, communication module lufda01, accessories lua1c20
prismaset_lvs08528_ip55 plain door w800
edgewise elbow feed unit - krc1600er54
suitable metal enclosures spacial sf, 1600x800x800, 1 door(s
acti9 ng125l mcb 2p c 40a
single contact block for head ø22 1nc silver alloy faston connector
precabled motor starter - gv2dm116m7
trip unit - tmd - 100 a - 4 poles 4d
lc1e200 to 250 - 3p contactors - lc1e200n5
pilot light 277vac 30mm type k +options
modicon m171 optimized flush mounting 22 i/os, modbus
variable speed drive, altivar process atv900, atv930, 37 kw, 380...480 v, cabinet integration, ip20, for us
lexium servo motor bsh with rotatable right-angled connectors, flange 70, peak ip65 untapped, with holding break and compatible with lxm05ad17f1
switch-disconnector masterpact mtz2 08...40 na - 3p drawout - lv848291
canalis kt 5x1600co junction bloc
s3d 1 plain door without mounting plate. h1200xw600xd300
compact metal enclosures spacial sm, 1400x800x400, 1 door(s
starter-controller up to 15 kw with power base lus12, control unit lucc12es, communication module lufn02, accessories lua1c20
servomotor sh3 100 3,3nm,nokey,single,nobrake,90°conn
starter-controller up to 15 kw with power base lub12, control unit lucdx6fu, communication module lufda01, accessories lua1c20
lc1e06 to 25 -  3p contactors  and cae relays - lc1e1201m6n
acti 9 dcp h vigi 2p 10a...32a b/c 10000a 30ma a/si-type rcbo, a9n19862
nsxm 70ka tm80d 3p elink breaker
basic switch-disconnector compact ns630b to ns1600 4p; electically operarted withdrawable device - 33455
easy9 mcb xp 3pn c 16a 6000 miniature circuit breaker
fire rated flat elbow - krc5000fp5c
starter-controller up to 15 kw with power base lus12, control unit lucd12fu, communication module lufw10, accessories lua1c11
nsxm 70ka tm80d 4p/3t busbar breaker
starter-controller up to 15 kw with power base lub12, control unit luca1xbl, communication module lufw10, accessories lua1c11
control and signalling units ø 22, harmony® xb4 metal, selector switch with long handle, padlockable, head only, chromium plated head , 3 position stay put, left and centre padlocking, black handle
spring terminal, ground, green-yellow, 3pts, 2,5mm²
manual sourcechangeover ins250 4p 100 a
fire rated straight length - kra1000ft420
multi9 prd1 75r 4p t1 120/208v 20ka 175v surge protective device
flatwise tee - krc3200td3b
acti 9 iid rccb 4p 40a 100ma type a-g
main emerg.switch hdl 40a
plain door sf/sm 2000x1000
ins1600 3p connection, 1600 a
weatherproof enclosure - red handle - plastic - 270x360 mm
floor standing drive atv930 - 200kw - 400/440v- w/o braking unit - ip21
energy meter iem2010; powerlogic
crn plain door with mounting plate h1000xw600xd250
starter-controller up to 15 kw with power base lub12, control unit luca32es, communication module lulc031
transparent door for wall-mounted or floor-standing enclosure, 27 modules
gv2pm motor circuit breaker - gv2p07tq
starter-controller up to 15 kw with power base lus12, control unit lucd18b, communication module lufw10, accessories lua1c20
starter-controller up to 15 kw with power base lus32, control unit lucax6fu, communication module lulc08
starter-controller up to 15 kw with power base lub32, control unit lucl12bl, communication module lufn20, accessories lua1c20
lc1e06 to 25 -  4p contactors - lc1e06008m7n
long feed unit - krc1600el44
altistart 22 soft start - soft stop unit, three-phase power supply voltage 230...440 v - connection to the motor's power supply line, 230 v : 160 kw, 400 v : 315 kw, 440 v : 355 kw
edgewise and flat zed - kra1250cp52
acti9 idt40k xa 1pn c 6a 4500a/4,5ka miniature circuit breaker
contactor - lc1d32w7
canalis kt 3x4000al plug-in length 2m
current transformer tropicalised din mount 300/5 for bars 10x40 20x32 25x25
servomotor sh3 100 8nm,key,multi,nobrake,str.conn,ip65/ip67,6k rpm
starter-controller up to 15 kw with power base lus32, control unit luca05bl, communication module lufv2, accessories lua1c20
acti9 vigi ng125 3p 125a 300-3000ma a-si
acti 9 dcp h vigi 2p 10a...32a b/c 10000a 30ma a/si-type rcbo, a9n19895
straight feeder length - krc1600et310
single contact block for head ø22, 1 no
phases balance - kra1250to5
s3d 1 plain door without mounting plate. h500xw500xd250
sts40 - floor - ball screw 400 - armio board with user i/o cable
cvs400na 400a 3p switch disconnector
powerpact bd 600y/347v tm45d 2p everlink control wire terminal circuit breaker
compact metal enclosures spacial sm with mounting plate, 1800x1200x400, 2 door(s
easy9 mcb 1p 1a to 63a b-c 6-10ka miniature circuit breaker - ez9f71120
unité de commande et de signalisation ø 22 harmony xb4 métallique - bouton poussoir à impulsion sans marquage à poussoir affleurant - tête seule ronde, zb4 ba68
prismaset_lvs01224_ip30 reinforced plain door ik10 w650
miniature circuit breaker dt40 3p 6a…40a, a9n21056
prismaset_lvs08498_ip30 2 part gl.pl.w800 d400
screw terminal, feed through, grey, 2pts, 4mm²
starter-controller up to 15 kw with power base lub12, control unit lucc12b, communication module asilufc5, accessories lua1c20
starter-controller up to 15 kw with power base lub12, control unit luclx6es, communication module lulc15
starter-controller up to 15 kw with power base lus32, control unit luca32fu, communication module lufda10, accessories lua1c20
starter-controller up to 15 kw with power base lub12, control unit lucb18bl, communication module lulc08
starter-controller up to 15 kw with power base lus12, control unit lucax6fu, communication module lufc00, accessories lua1c20
fire rated edgewise elbow - krc5000fc3a
cad of lc1e06-25 3p contactor and cae - lc1n1201cc5n
control and signalling units ø 22, harmony® xb5 plastic, illuminated selector switch with standard handle, with integral led, head only, 2 position stay put, orange handle
starter-controller up to 15 kw with power base lub12, control unit lucc1xes, communication module lulc15
starter-controller up to 15 kw with power base lus32, control unit lucc1xes, communication module lulc033
control and signalling units ø 22, harmony® xb4 metal, selector switch with standard handle, head only, chromium plated head, 3 position stay put, yellow handle
kt 5x3200co plug-in length
starter-controller up to 15 kw with power base lub12, control unit lucb05bl, communication module asilufc5, accessories lua1c20
rcbo qoe rcbo 1p 06a...40a 30/100ma, qoe140b03
tesys d contactor - 4p - ac-1 - <= 440 v 20 & 25 a - dc coil - lc1dt256sdxs207
cm2
red projecting illuminated pushbutton head ø22 spring return for integral led
thalassa pla - enclosures with plinth-type open bottom part, ip 54 - anti-posting door - 1500x1000x420
cad of lc1n40-65 3p contactors - lc1n50q5n
kt 4x1250al feeder
szgtu10n2 - prisma xs upright fixing for 210 mm depth, 2 pieces
basic circuit breaker masterpact nw08 to nw40 4p; withdrawable device - 48267
servo motor bch, 130mm, 1500w, w oil seal, smooth, straight con
acti9 ic60h 3p-n 0,5a...63a; double terminal miniature circuit breaker, a9f06701
starter-controller up to 15 kw with power base lus32, control unit lucc32fu, communication module lulc07
starter-controller up to 15 kw with power base lus32, control unit lucb12fu, communication module lufc00, accessories lua1c20
tesys contactor - 3p - 115 to 150 a - lc1d11500f7c
push-button ø22 - mushroom head ø40 - black - 1nc
starter-controller up to 15 kw with power base lub12, control unit luca05bl, communication module asilufc5, accessories lua1c11
partial fixed rack 19"" 8u
copper flexible links flat - krb0100yc305t
starter-controller up to 15 kw with power base lub32, control unit luccx6b, communication module asilufc5, accessories lua1c20
starter-controller up to 15 kw with power base lub32, control unit lucb05bl, communication module asilufc51, accessories lua1c20
switch-disconnector masterpact mtz2 08...40 na - 4p drawout - lv848755
starter-controller up to 15 kw with power base lub32, control unit lucc32bl, communication module lufv2, accessories lua1c20
starter-controller up to 15 kw with power base lub12, control unit luca05bl, communication module lufv2, accessories lua1c11
starter-controller up to 15 kw with power base lus32, control unit luca12fu, communication module lulc09
control and signalling units ø 22, harmony® xb4 metal, selector switch with standard handle, head only, black head, 3 position, spring return to centre, yellow handle
cad of lc1n40-65 3p contactors - lc1n40q5n
contactor 12,5/16,7 kvar; tesys d, lc1dgke7
c.u.400w 230v 50/60hz rfm
edgewise tee
variable speed drive atv950 - 55kw/75hp -380/480v - ip55/ul type12 - disc.switch
flat elbow feed unit - kra1000er56
starter-controller up to 15 kw with power base lub12, control unit luca12bl, communication module lulc15
starter-controller up to 15 kw with power base lus12, control unit lucd32es, communication module lufda10, accessories lua1c20
planetary gearboxes gbx060004k with adaptator kit gbk 060 070 2 f, casing diameter = 60 and reduction ratio = 4:1
starter-controller up to 15 kw with power base lus12, control unit lucd32b, communication module lufw10, accessories lua1c11
vigi dpnc 1ppn 25/40a 30/300ma adaptable residual current device, a9n21753
lc1e80 to 95 - 4p contactors - lc1e80008f7
mx 525v 50hz 600v 60hz shunt release
30mm illuminated red push pull 1no/1nc
suitable metal enclosures spacial sf, 2000x1000x500, 1 door(s
edgewise elbow - kra1000lc3b
control relay for connection by screw clamp terminal or lug - lc1d126bl
compact smart relay zelio logic - 10 i o - 24 v dc - no clock - no display
c40a 3p-n 6a…40a; miniature circuit breaker, a9n17489
lc1e06 to 25 -  3p contactors  and cae relays - lc1e0910b5n
technical uprights
kt 5x3200al edgewise zed n2
angular gearbox straight teeth gby-ø 60 mm - reduction 40:1<lt/>18 arc.min -40 n.m
servo motor bch, 180mm, 3500w, w oil seal, smooth, brake, straight con
basic switch-disconnector masterpact nw08 to nw40 1000 vac 4p; withdrawable device - 48755
4p4t micrologic 2.2 ab 240a nsx250f
illuminated emergency stop control box 24v 2 colors white/red fixed 1no 2nc
spacial sfhd - side panels / external fixing / h1281
szfkh60n10 - prisma xs cable support for din-rail, 45x69 mm wxh, 10 pieces
rcbo 1p+n 32a c curve 6000a 30ma type a
starter-controller up to 15 kw with power base lub12, control unit lucbx6fu, communication module lulc031
resi9 xp relay
starter-controller up to 15 kw with power base lub32, control unit lucc1xu, communication module lulc031
edgewise elbow - krc2500lc3c
tesys lg - enclosed dol starter  - lj7k06q7
starter-controller up to 15 kw with power base lus12, control unit lucc12fu, communication module lufn02, accessories lua1c20
contactor - lc1d386b7c
tvs contactor 400v 30kw ac3 220v 50 60hz
easergy p3f30, power c, 110vdc, 22di+13do, 3l+4u+2xio, 2 x lc
flatwise tee - krc6300td3a
tesys d contactors for control in category ac-1 - for  connection by screw clamp terminals and lugs - d.c. supply, 50 a, coils tension : u 0.7...1.25 uc, volts: 220 v
acti9 ng125l mcb 4p b 25a
pilot light 277vac 30mm sk +options
signalling solutions, rotating mirror beacons harmony type xvr, accessories, xvr z082
suitable metal enclosures with mounting plate spacial sf, 2000x1000x800, 1 door(s
ac servo motor bsh - 0.21n.m - 9000 rpm - untapped shaft - without brake - ip50
kt 3x5000co flat edgewise n2
fire rated straight length - krc1600ft530
acti 9 icv40n 3pn b 16a 6000a/10ka 30ma a type rcbo
chasis modular dl para armario alt.800xw600xd200 mm
lexium gbx planetary gearboxes : gbx080020k with adaptator kit : gbk0800853s
tesys le - enclosed dol starter - 16 a - 230 v ac coil - without relay
coil suppressor module for d range contactors - lad4t3s
box pc universal dc - base unit 4 slots 8gb ram
screw terminal, ground, green-yellow, 2pts, 4mm²
spring terminal, ground, green-yellow, 3pts, 4mm²
beacon without buzzer + 1 illuminated unit - ø 45 mm - 120 v ac
kt 4x3200co feed unit er n7
easy9 plastic enclosure 5 modules surface smoked door
precabled motor starter - gv2dp105f7
flat zed unit - krc1000zp5
starter-controller up to 15 kw with power base lus32, control unit lucb12fu, communication module lufdh11, accessories lua1c20
starter-controller up to 15 kw with power base lus12, control unit luca18es, communication module lufw10, accessories lua1c20
nsxm 16ka tm32d 4p/3t busbar breaker
basic switch-disconnector masterpact nt06 to nt16 3p; withdrawable device - 47248
straight feed unit - kra1000er41
flush mounted black selector switch head knurled knob 3 positions return left to center
variable speed drive atv930 - 75kw - 400/480v - with braking unit - ip21
acti 9 ic60h/n 3p 1a…63a miniature circuit breaker - a9f55332
starter-controller up to 15 kw with power base lus32, control unit luccx6fu, communication module asilufc5, accessories lua1c11
starter-controller up to 15 kw with power base lus12, control unit luca32b, communication module lufdh11, accessories lua1c20
tesys motor circuit breaker gv2-p - gv2p03ae11tq
flat elbow feed unit - kra1600er46
ins100 4p 100a r y
starter-controller up to 15 kw with power base lub12, control unit lucm05bl, communication module lufn20, accessories lua1c20
starter-controller up to 15 kw with power base lus12, control unit lucm32bl, communication module lufda01, accessories lua1c20
zelio relay re8 modular industrial timer re8ra11futq
flat zed unit - kra1250zp4
lexium servo motor bsh with rotatable right-angled connectors, flange 55, peak ip50 keyed, without holding break and compatible with lxm15ld13m3
starter-controller up to 15 kw with power base lub12, control unit lucax6b, communication module lufda10, accessories lua1c11
canalis kt 4x4000al feeder length fire
variable speed drive - 11kw to 22kw - 400v 3 phases - atv340 ethernet
easy9 mcb 2p, 6a, 6000a, c curve
control and signalling units ø 22, harmony® xb4 metal, key switches, head only, black head, 2 position stay put, left key withdrawal, spring return from right to left, black color, key number 3131a
acti 9 k60n 3p 6a…40a, miniature circuit breaker, a9k02340
starter-controller up to 15 kw with power base lub12, control unit lucl18bl, communication module lufc00, accessories lua1c11
kt 5x2500al isolator unit r
steel desk spacial sd h1400xw1200xd845. blind door front console. rear access pneumatic desk lid opening stay adjustmen rails and brackets for mounting plate locking system db 3mm ip 55, ik 10, ral 7035
atv980 regenerative drive system 180 kw / 160 kw; 480v (ce, ip23
silent contactors for motor control, 6 to 16 a in category ac-3 and 6 to 12 a in category ac-4. control circuit: a.c. current: 12 a, instantaneous auxiliary contacts: 1o, volts 50/60 hz: 480 volts
tesys le - enclosed dol starter - 9 a or 12 a - ac coil - reset - le1d-s1-a05_cad
trihal transfo 2000kva 22kv-433v alu ip00 anaf
kt 4x1600co feed unit el n2
ikqe rcbo 1p+n 6a…45a 10/30/100ma with overcurrent protection - a9d17840
prismaset_lvs04641_conn.80/100mm hz.busbars
kt 5x800al feed unit er n1
lexium servo motor bsh with rotatable right-angled connectors, flange 140, peak ip50 keyed, without holding break and compatible with lxm32.d72n4
mx 250v dc shunt release
relay+socket.1co.120vac
30mm push button full guard
starter-controller up to 15 kw with power base lus32, control unit lucdx6bl, communication module lulc09
capacitor can hdy 8.3/10kvar 600v
canalis kt 3x1600al flat elbow n1
direct rotary handle black for tesys gv4/bv4
control and signalling units ø 22, harmony® xb4 metal, illuminated selector switch with standard handle, with integral led, head only, black head, 3 position, spring return from left to centre, red handle
starter-controller up to 15 kw with power base lus12, control unit lucb18b, communication module lufdh11, accessories lua1c20
circuit breaker masterpact mtz1 16h3 - 1600 a - 4p fixed - w/o micrologic
ep mvs sd 1250a 50ka 3p ef 240vac w o pr
tesys b contactor 1p 2750a 240v ac - lc1br31u31
duct, ip55, w = 300 mm, 11 modules
acti 9 ic60h/n 3p 1a…63a miniature circuit breaker - a9f45302
control and signalling units ø 22, harmony® xb4 metal, selector switch with long handle, padlockable, head only, chromium plated head , 2 position stay put, padlockable, black handle
canalis kt 3x1350co plug-in length 4m
powerpact bd 347v tm125d 1p busbar circuit breaker
3-pole silent or low consumption reversing contactors in category ac-3 and ac-4, control circuit: d.c. supply low consumption, current: 12 a, instantaneous auxiliary contacts: 1f, connection: screw clamp
edgewise and flat zed - krc4000cp51
servomotor sh3 070 3,1nm,key,multi,nobrake,90°conn.ip65/ip67,8k rpm
tesys lrd thermal overload relays - lrd3363c
starter-controller up to 15 kw with power base lus32, control unit lucc18bl, communication module lulc033
bch2 motor 180mm 2000w no oil seal with key 20-bit enc. brake straight con
horizontal flat bar linergy bs 100 x 10 w2000
mini-contactors tesys sk for use in modular panels, width 45 mm, number of phases: 4, auxiliary contacts: -, standard control circuit voltages: 380
int. termomag. c60n 4x1…63a curva b/c/d - a9n24097
tesys d contactor - 3p(3 no) - ac-3 - <= 440 v 18 25 32 a -dc coil - spring term - lc1d253sd
s3d 1 glazed door without mounting plate h300xw300xd200
form 2 cover horz.busbar w650 d400
starter-controller up to 15 kw with power base lus12, control unit lucm18bl, communication module asilufc5, accessories lua1c11
atv320 0,75kw 200v 3ph compact control variable speed drive
canalis kt 4x800al feeder length fire 2m
int. termomag. k60 2x6…63a curva c
altistart 22 soft start - soft stop unit, three-phase power supply voltage 230...440 v - connection to the motor's power supply line, 230 v : 37 kw, 400 v : 75 kw, 440 v : 75 kw, 600 v : 90 kw
easy9 isolator 1p 40-63a  - ez9s66480
tesys lg - enclosed dol starter - lg1k065q705
starter-controller up to 15 kw with power base lus32, control unit luca05bl, communication module asilufc51, accessories lua1c11
tesys b contactor 2p 2750a 240v ac - lc1br32u13
acti 9 ic60h/n 1p 1a…63a miniature circuit breaker - a9f44101
idpn vigi 4a…40a 10ma…300ma  1pn, a9d56613
contactor - lc1d386fdc
canalis kt 3x2500co flat elbow n1 fire
long feed unit - krc2000el54
comb busbar 3pn vigi repartis 63a 56 modules, a9n21038
auxiliary contact 1 nc and 1 oc, 16940
acti 9 icv40n 1pn c 20a 6000a 300ma ac type rcbo
lexium servo motor bsh with rotatable right-angled connectors, flange 70, peak ip50 keyed, with holding break and compatible with lxm05ad10m2
fire rated flat elbow - kra1000fp4a
acti9 ic60n 4p 0,5a...63a; double terminal miniature circuit breaker, a9f03406
lexium servo motor bsh with straight connector, flange 100, peak ip65/ip67 keyed, without holding break and compatible with lxm32.d30n4
silent contactors for motor control, 6 to 16 a in category ac-3 and 6 to 12 a in category ac-4. control circuit: a.c. current: 12 a, instantaneous auxiliary contacts: 1f, volts 50/60 hz: 48 volts
c120n 3p 63a…125a; miniature circuit breaker, a9n18365
starter-controller up to 15 kw with power base lub32, control unit lucb32fu, communication module lulc08
canalis - ksa - elbow - turn right - segment b m-to-m - 1000a
beacon, buzzer, ac 100~230v, red
cutable comb busbar 3p 100a 24 modules, a9xph324
canalis - ksc - elbow - go downward - segments a b m-to-m - fire barrier - 800a
orange flush illuminated pushbutton head ø22 spring return for ba9s bulb
lc1e06 to 25 -  4p contactors - lc1e09004q7n
tesys f contactor - 4p (4 no) - ac-1 - <= 440 v 700  a - cr1f5004u7
starter-controller up to 15 kw with power base lus32, control unit lucb05bl, communication module lulc033
crng 1400x1000x300 two plain door
tesys d contactors for motor control up to 30 kw at 400 v, in category ac-3 for  connection by screw clamp terminals and lugs - a.c. supply  65 a, coils frequency: 50/60hz, volts: 230 v
control relay for connection by screw clamp terminal or lug - lc1d126edc
starter-controller up to 15 kw with power base lub32, control unit lucb32b, communication module asilufc5, accessories lua1c20
circuit breaker masterpact mtz2 08….40 - 3p drawout - without micrologic - lv864976
starter-controller up to 15 kw with power base lub32, control unit lucc18es, communication module lulc033
starter-controller up to 15 kw with power base lub32, control unit luca32fu, communication module lufdh11, accessories lua1c20
basic circuit breaker masterpact nw08 to nw40 3p; fixed - 48014
gv4pe multi therm/mag 115a 25ka elink motor breaker
c120b 1p 10a…63a; miniature circuit breaker, a9n18904
tesys d reversing contactor - 3p(3 no) - ac-3 - <= 440 v- 25-38 a -  dc coil - lc2d25jd
resist.résistancealum 150w, 12-24v
round pilot light ø22 - yellow - ba9s base - 230v - screw clamp terminals
control and signalling units ø 22, harmony® xb4 metal, key switches, head only, chromium plated head, 3 position stay put, centre key withdrawal, black color, key number 455
xb2-b body with 1n/c contact
acti 9 dt40 vigi k 3ppn 10a…40a c 30ma…300ma ac-type rcbo - a9n21232
starter-controller up to 15 kw with power base lub12, control unit luca12bl, communication module lufc00, accessories lua1c11
vcb fixed 12kv 95kvp 26ka 1250a ch20a mxf24
modular contactor tesys gc 40/63a 2no+1nc/3no - gc4030f5
starter-controller up to 15 kw with power base lub12, control unit luca12bl, communication module lufdh11, accessories lua1c20
canalis kt 5x5000co feeder length fire 2m
starter-controller up to 15 kw with power base lub32, control unit luccx6bl, communication module lufda10, accessories lua1c20
easypact tvs motor circuit breaker - gz1e22n
variable speed drive atv312 m3 for motor power of 0.18 kw
marking strip, 10 characters, 31 to 40, 6mm
zelio relay rm analog interface module rmpt70bd
tesys f contactor - 2p (2 no) - ac-1 - <= 440 v 500 - 700  a - lc1f5002f7
vigi c40 3ppn 25/40a 30/300ma; adaptable residual current device acti 9
lc1e06 to 25 -  3p contactors  and cae relays - lc1e0601b6n
starter-controller up to 15 kw with power base lub32, control unit luca32es, communication module lufc00, accessories lua1c20
starter-controller up to 15 kw with power base lus32, control unit luca12fu, communication module lufda01, accessories lua1c20
contactor 25a 2p with manual control acti 9
acti9 ic60h 1p b 10a mcb
horizontal rear top connection - for masterpact mtz1 06-16 - 3p fixed
cutable comb busbar aux+4p 100a 57 modules
linergy lgye profile 2500 a w2000
starter-controller up to 15 kw with power base lus12, control unit lucc1xb, communication module lulc033
starter-controller up to 15 kw with power base lus32, control unit lucc12bl, communication module lufw10, accessories lua1c11
front-connected switch-disconnectorcompact ns1600bb to ns3200 3p; fixed manually operated - 34027
kt 4x2500al feed unit er n7
flush mounted blue flush caps pushbutton 1no screw clamp cp white
joystick 600vac 10a 30mm t-k
marking strip, 10 characters, 11 to 20, 10mm
kt 4x1250al flat elbow n1
kt braid 600mm2 l400 8
starter-controller up to 15 kw with power base lub32, control unit lucd32b, communication module lulc033
lexium gbx planetary gearboxes : gbx080005k with adaptator kit : gbk0800852s
mcb qovs 3p 10a…63a, qo350vsc10
vigilohm 12 channel fault locator with modbus
starter-controller up to 15 kw with power base lus32, control unit lucc18bl, communication module lufv2, accessories lua1c20
3p contactor 9a ac3 4kw 24vdc sping
multi9 c60sp 1p c 32a 10ka 277v ul1077 m
canalis kt 3x3200al feeder length fire
flush mounted yellow flush caps pushbutton head push push
flush mounted red flush caps pushbutton head white marked stop cp white
circuit breaker masterpact mtz2 08...40 - 4p drawout - without micrologic - lv848736
tesys le - enclosed dol starter - 1.2...1.8 a - 230 v ac coil
canalis kt 5x3200co feeder length fire 2m
tesys d contactor - 4p - ac-1 - <= 440 v 32 & 40 a  - ac coil - lc1dt40q7
eevd exp 1 bipolr se
magnetic control unit lucl for tesys u motor starter, 0,15a to 32a - lucd1xb
kt 3x4000al junction bloc
prismaset_lvs08882_plain plate for enclosures
kt 4x4000al kh plug-in length 4m
domae mcb 3p c 50a 4500a miniature circuit breaker
starter-controller up to 15 kw with power base lus32, control unit lucd1xes, communication module lufdh11, accessories lua1c11
starter-controller up to 15 kw with power base lus12, control unit luca05es, communication module lulc15
polyester encl. plat version with ventilated canopy h700xw1250xd320 ribbed
acti9 xc60h 1p 0.5a…63a  miniature circuit breaker, a9n1p03c
multi9 c60sp 3p c 10a 10ka 480y/277v ul1
idif k-ad63 k c 6a…32a 1pn  rccb with overcurrent protection (rcbo) - a9d63625
prismaset_lvs08109_wall-mounted encl.w600 27m prisma g ip30
starter-controller up to 15 kw with power base lub32, control unit lucb05es, communication module lulc033
starter-controller up to 15 kw with power base lub32, control unit lucd12bl, communication module lufn20, accessories lua1c20
thalassa pla - enclosures with ventilated canopy ip 44 - anti-posting door - 500x1000x420
lc1e40 to 65 - 3p contactors - lc1e40q5n
starter-controller up to 15 kw with power base lus32, control unit lucb1xbl, communication module lufda01, accessories lua1c20
cable end feed unit - kra0800er39
ac/dc 48v green led pilot light
servomotor sh3 140 11,1nm,key,single,brake,90°conn.ip54/ip65,4k rpm
tesys d contactor - 3p(3 no) - ac-3 - <= 440 v 18 25 32 a -ac coil - spring term - lc1d253f7
acti9 ic60h 3p-n 0,5a...63a; double terminal miniature circuit breaker, a9f07710
square-d el consumer unit, split-bus with rcbo mgbx, 8+4 ways - sdel18x4mbgx45t
starter-controller up to 15 kw with power base lub32, control unit luca05es, communication module lulc15
kt 4x2500co feed unit el
double contact block's for head ø22 1no+1nc screw clamp terminal
starter-controller up to 15 kw with power base lus32, control unit lucb32es, communication module asilufc5, accessories lua1c20
starter-controller up to 15 kw with power base lus32, control unit lucb12es, communication module lulc08
plastic foot switches optimum xpe y. single pedal with protective cover. 2 entries for cable gland iso m20, 1 step, 2 contacts ""o + f"", yellow, without trigger mechanism requiring positive action to allow pedal operation
c40n 3p-n 6a…40a; miniature circuit breaker, a9n17592
starter-controller up to 15 kw with power base lus12, control unit lucd1xfu, communication module lulc07
c120h 1p 63a…125a; miniature circuit breaker, a9n60778
switch-disconnector masterpact mtz1 06...16 ha - 3p fixed - lv847159
starter-controller up to 15 kw with power base lub32, control unit lucb32es, communication module lufda10, accessories lua1c11
coil suppressor module d range - la4de2u
control and signalling units ø 22, harmony® xb4 metal, illuminated selector switch with standard handle, with integral led, head only, chromium plated head, 3 position, spring return to centre, orange handle
kt 5x1600co bolt on length 4m
reg temperature control relay zelio control, reg temperature control relay, 96 x 48 size - 1/8 din standard, reg96pun2ljhu
starter-controller up to 15 kw with power base lub32, control unit lucc32bl, communication module lufdh11, accessories lua1c11
monolithic tower lights harmony type xvc, xvc6 complet, pre-wired tower lights diameter 60, for support tube monting diameter 22, xvc6m2
tesys bv4 motor circuit breaker 600y/347v 2a everlink
spacial s3hd - 448 x 300 x 230
tesys gs - black direct right side rotary handle - for switch disc 100…400 a
ild62 single 24a peak
easy9 mcb 2p 6a …63a miniature circuit breaker - ez9f43210
starter-controller up to 15 kw with power base lub32, control unit lucm32bl, communication module lufc00, accessories lua1c20
yico ac contactor 220v lc1e40
kt 4x1000al expansion unit
canalis - ksa - zed - turn left then right - a b c m-to-m - 400a
